,last_source,sessions_count,sessions_orders_count,sessions_typ_count,cr
138,20180125_ruchnik_tst,2,0,0,0.0
139,Sibnet,78,0,0,0.0
140,qrcode,38,0,0,0.0
141,fb.com_ast,2,0,0,0.0
142,Рассылка интернет-магазина book24.ru,1,0,0,0.0
143,20131022,1,0,0,0.0
144,yandexmarket.vladivostok,78,0,0,0.0
145,yamar,1,0,0,0.0
146,20171105,6,0,0,0.0
147,20180123_pl,1,0,0,0.0
148,criteo_msk,3,0,0,0.0
149,fbig-carousel-gender8march,54,0,0,0.0
150,iphonesru/?min_price=21990,12,0,0,0.0
151,1664,1,0,0,0.0
152,20151029,1,0,0,0.0
153,220-volt.tiu.ru,6,0,0,0.0
154,Affiliate.Partners,1,0,0,0.0
155,UniSender,1,0,0,0.0
156,wcbook,2,0,0,0.0
157,Criteo,73,0,0,0.0
158,VKposev,45,0,0,0.0
159,iphones_music/?min_price=1790,9,0,0,0.0
160,znanika,2,0,0,0.0
161,MT,1,0,0,0.0
162,ClearProfit_yandex_cpc,1,0,0,0.0
163,1434,1,0,0,0.0
164,vk-carousel-gender8march,105,0,0,0.0
165,lonely_planet,1,0,0,0.0
166,The-Flow(season_2),1,0,0,0.0
167,test_utm_source,1,0,0,0.0
168,Fbpost,1,0,0,0.0
169,print,2,0,0,0.0
170,lifehacker_wd,4,0,0,0.0
171,20180212_23feb,1,0,0,0.0
172,20170723,1,0,0,0.0
173,20180314_silovaya,1,0,0,0.0
174,20180131_dom,5,0,0,0.0
175,20171216_dremel,3,0,0,0.0
176, blackfridaysale_ru,5,0,0,0.0
177,yandex_banneri_nuri,1,0,0,0.0
178,20180204_b,4,0,0,0.0
179,fb,1,0,0,0.0
180,lonelyplanet,3,0,0,0.0
181,firstdata,952,0,0,0.0
182,20150331,1,0,0,0.0
183,omsk.nashaspravka.ru,1,0,0,0.0
184,fbig-post-gender8march,100,0,0,0.0
185,odnoklassniki,3,0,0,0.0
186,iphones,2,0,0,0.0
187,n1881.facebook,2,0,0,0.0
188,2198,1,0,0,0.0
189,20170702,1,0,0,0.0
190,Vk_post,1,0,0,0.0
191,ekaterinburg.nashaspravka.ru,1,0,0,0.0
192,resobr,5,0,0,0.0
193,20180129_cenorez_a,1,0,0,0.0
