,offer_id,last_source,sessions_count,sessions_orders_count,sessions_typ_count,cr
566,43,iphones_music/?min_price=1790,9,0,0,0.0
567,43,youtube,2,0,0,0.0
568,43,mixmarket,1,0,0,0.0
569,43,iphonesruальфа р,1,0,0,0.0
570,43,black_friday,1,0,0,0.0
571,43,rtbhouse,223,0,0,0.0
572,43,mytarget,1,0,0,0.0
573,43,istorerf,11,0,0,0.0
574,43,vk,1,0,0,0.0
575,43,gett/,2,0,0,0.0
576,43,vc_promo,3,0,0,0.0
577,43,telegram.me,1,0,0,0.0
578,43,tema-lj,1,0,0,0.0
